No.,Symbol,Company Name,Revenue,Stock Price,% Change,Market Cap
317,DVA,DaVita Inc.,12.14B,132.06,-1.51%,11.58B
318,HRL,Hormel Foods Corporation,12.14B,34.77,-1.53%,19.04B
319,CAG,"Conagra Brands, Inc.",12.12B,30.60,-2.17%,14.63B
320,DD,"DuPont de Nemours, Inc.",12.07B,76.19,-1.41%,31.82B
321,CCK,"Crown Holdings, Inc.",12.01B,79.50,-1.32%,9.60B
322,CAR,"Avis Budget Group, Inc.",12.01B,119.94,-2.93%,4.25B
323,W,Wayfair Inc.,12.00B,61.73,-6.92%,7.40B
324,MTZ,"MasTec, Inc.",12.00B,90.20,-3.04%,7.15B
325,STT,State Street Corporation,11.95B,74.37,-2.96%,22.46B
326,ES,Eversource Energy,11.91B,59.07,-1.48%,20.66B
327,RJF,"Raymond James Financial, Inc.",11.85B,127.13,-0.73%,26.57B
328,NEM,Newmont Corporation,11.81B,39.06,-1.54%,45.03B
329,R,"Ryder System, Inc.",11.78B,116.08,-4.23%,5.10B
330,FNF,"Fidelity National Financial, Inc.",11.75B,48.28,-8.53%,13.19B
331,TAP,Molson Coors Beverage Company,11.70B,67.46,0.19%,14.34B
332,TAP.A,Molson Coors Beverage Company,11.70B,67.70,-0.44%,14.15B
333,LNC,Lincoln National Corporation,11.65B,29.31,-1.78%,4.97B
334,ADI,"Analog Devices, Inc.",11.57B,196.33,-3.82%,97.36B
335,CZR,"Caesars Entertainment, Inc.",11.53B,41.50,-5.64%,8.98B
336,IFF,International Flavors & Fragrances Inc.,11.48B,86.20,-0.21%,22.01B
337,HII,"Huntington Ingalls Industries, Inc.",11.45B,275.15,-0.13%,10.90B
338,AAP,"Advance Auto Parts, Inc.",11.29B,77.95,-0.65%,4.64B
339,MPLX,MPLX LP,11.28B,41.39,-0.86%,41.83B
340,WDC,Western Digital Corporation,11.26B,72.25,-0.55%,23.54B
341,PEG,Public Service Enterprise Group Incorporated,11.24B,66.57,-0.94%,33.19B
342,ULTA,"Ulta Beauty, Inc.",11.21B,450.95,-0.85%,21.77B
343,DRI,"Darden Restaurants, Inc.",11.20B,155.90,-1.52%,18.61B
344,HSY,The Hershey Company,11.16B,192.03,-1.31%,39.16B
345,CHWY,"Chewy, Inc.",11.15B,17.40,-0.97%,7.57B
346,AMT,American Tower Corporation,11.14B,181.96,-5.63%,84.86B
347,MHK,"Mohawk Industries, Inc.",11.14B,119.67,-4.38%,7.62B
348,AIZ,"Assurant, Inc.",11.13B,177.49,-0.73%,9.23B
349,CE,Celanese Corporation,10.94B,160.07,-3.73%,17.86B
350,QRTEA,"Qurate Retail, Inc.",10.92B,1.01,-1.94%,386.88M
351,QRTEB,"Qurate Retail, Inc.",10.92B,4.05,-3.34%,381.36M
352,WMB,"The Williams Companies, Inc.",10.91B,38.88,-0.92%,47.37B
353,IPG,"The Interpublic Group of Companies, Inc.",10.89B,30.68,-3.37%,11.62B
354,OVV,Ovintiv Inc.,10.88B,55.52,-0.07%,14.93B
355,IEP,Icahn Enterprises L.P.,10.85B,17.38,-0.74%,7.46B
356,VFC,V.F. Corporation,10.82B,13.50,-3.23%,5.25B
357,CVNA,Carvana Co.,10.77B,80.52,-3.78%,16.26B
358,HES,Hess Corporation,10.65B,157.99,1.06%,48.53B
359,DAN,Dana Incorporated,10.56B,12.33,-4.79%,1.78B
360,AA,Alcoa Corporation,10.55B,36.19,-1.71%,6.50B
361,EQH,"Equitable Holdings, Inc.",10.53B,37.05,-1.44%,12.22B
362,ALK,"Alaska Air Group, Inc.",10.43B,41.96,-2.44%,5.29B
363,THO,"Thor Industries, Inc.",10.38B,105.33,-6.76%,5.62B
